,id,date,store_nbr,family,sales,onpromotion
0,0,2013-01-01 00:00:00,1,AUTOMOTIVE,0.0,0
1782,1782,2013-01-02 00:00:00,1,AUTOMOTIVE,2.0,0
3564,3564,2013-01-03 00:00:00,1,AUTOMOTIVE,3.0,0
5346,5346,2013-01-04 00:00:00,1,AUTOMOTIVE,3.0,0
7128,7128,2013-01-05 00:00:00,1,AUTOMOTIVE,5.0,0
8910,8910,2013-01-06 00:00:00,1,AUTOMOTIVE,2.0,0
10692,10692,2013-01-07 00:00:00,1,AUTOMOTIVE,0.0,0
12474,12474,2013-01-08 00:00:00,1,AUTOMOTIVE,2.0,0
14256,14256,2013-01-09 00:00:00,1,AUTOMOTIVE,2.0,0
16038,16038,2013-01-10 00:00:00,1,AUTOMOTIVE,2.0,0
17820,17820,2013-01-11 00:00:00,1,AUTOMOTIVE,3.0,0
19602,19602,2013-01-12 00:00:00,1,AUTOMOTIVE,2.0,0
21384,21384,2013-01-13 00:00:00,1,AUTOMOTIVE,2.0,0
23166,23166,2013-01-14 00:00:00,1,AUTOMOTIVE,2.0,0
24948,24948,2013-01-15 00:00:00,1,AUTOMOTIVE,1.0,0
26730,26730,2013-01-16 00:00:00,1,AUTOMOTIVE,1.0,0
28512,28512,2013-01-17 00:00:00,1,AUTOMOTIVE,1.0,0
30294,30294,2013-01-18 00:00:00,1,AUTOMOTIVE,0.0,0
32076,32076,2013-01-19 00:00:00,1,AUTOMOTIVE,5.0,0
33858,33858,2013-01-20 00:00:00,1,AUTOMOTIVE,3.0,0
35640,35640,2013-01-21 00:00:00,1,AUTOMOTIVE,1.0,0
37422,37422,2013-01-22 00:00:00,1,AUTOMOTIVE,1.0,0
39204,39204,2013-01-23 00:00:00,1,AUTOMOTIVE,3.0,0
40986,40986,2013-01-24 00:00:00,1,AUTOMOTIVE,0.0,0
42768,42768,2013-01-25 00:00:00,1,AUTOMOTIVE,5.0,0
44550,44550,2013-01-26 00:00:00,1,AUTOMOTIVE,4.0,0
46332,46332,2013-01-27 00:00:00,1,AUTOMOTIVE,2.0,0
48114,48114,2013-01-28 00:00:00,1,AUTOMOTIVE,3.0,0
49896,49896,2013-01-29 00:00:00,1,AUTOMOTIVE,2.0,0
51678,51678,2013-01-30 00:00:00,1,AUTOMOTIVE,6.0,0
