,id,date,store_nbr,family,sales,onpromotion
2596374,2596374,2017-01-01 00:00:00,1,AUTOMOTIVE,0.0,0
2598156,2598156,2017-01-02 00:00:00,1,AUTOMOTIVE,5.0,0
2599938,2599938,2017-01-03 00:00:00,1,AUTOMOTIVE,4.0,0
2601720,2601720,2017-01-04 00:00:00,1,AUTOMOTIVE,1.0,0
2603502,2603502,2017-01-05 00:00:00,1,AUTOMOTIVE,2.0,0
2605284,2605284,2017-01-06 00:00:00,1,AUTOMOTIVE,2.0,0
2607066,2607066,2017-01-07 00:00:00,1,AUTOMOTIVE,5.0,0
2608848,2608848,2017-01-08 00:00:00,1,AUTOMOTIVE,0.0,0
2610630,2610630,2017-01-09 00:00:00,1,AUTOMOTIVE,2.0,0
2612412,2612412,2017-01-10 00:00:00,1,AUTOMOTIVE,3.0,0
2614194,2614194,2017-01-11 00:00:00,1,AUTOMOTIVE,10.0,0
2615976,2615976,2017-01-12 00:00:00,1,AUTOMOTIVE,2.0,0
2617758,2617758,2017-01-13 00:00:00,1,AUTOMOTIVE,3.0,0
2619540,2619540,2017-01-14 00:00:00,1,AUTOMOTIVE,2.0,0
2621322,2621322,2017-01-15 00:00:00,1,AUTOMOTIVE,1.0,0
2623104,2623104,2017-01-16 00:00:00,1,AUTOMOTIVE,3.0,0
2624886,2624886,2017-01-17 00:00:00,1,AUTOMOTIVE,2.0,0
2626668,2626668,2017-01-18 00:00:00,1,AUTOMOTIVE,3.0,0
2628450,2628450,2017-01-19 00:00:00,1,AUTOMOTIVE,2.0,0
2630232,2630232,2017-01-20 00:00:00,1,AUTOMOTIVE,2.0,0
2632014,2632014,2017-01-21 00:00:00,1,AUTOMOTIVE,5.0,0
2633796,2633796,2017-01-22 00:00:00,1,AUTOMOTIVE,3.0,0
2635578,2635578,2017-01-23 00:00:00,1,AUTOMOTIVE,4.0,0
2637360,2637360,2017-01-24 00:00:00,1,AUTOMOTIVE,7.0,0
2639142,2639142,2017-01-25 00:00:00,1,AUTOMOTIVE,6.0,0
2640924,2640924,2017-01-26 00:00:00,1,AUTOMOTIVE,12.0,0
2642706,2642706,2017-01-27 00:00:00,1,AUTOMOTIVE,2.0,0
2644488,2644488,2017-01-28 00:00:00,1,AUTOMOTIVE,6.0,0
2646270,2646270,2017-01-29 00:00:00,1,AUTOMOTIVE,0.0,0
2648052,2648052,2017-01-30 00:00:00,1,AUTOMOTIVE,3.0,0
2649834,2649834,2017-01-31 00:00:00,1,AUTOMOTIVE,5.0,0
2651616,2651616,2017-02-01 00:00:00,1,AUTOMOTIVE,7.0,0
2653398,2653398,2017-02-02 00:00:00,1,AUTOMOTIVE,3.0,0
